,Unnamed: 0,publish_date,content,recommendation,hours,player_level,owned_games,clean_content,category,sentiment
10,10,2026-02-28,巧克力味的屎,不推荐,17.0,15,24,巧克力味的屎,其他,负面
11,11,2026-02-28,好游戏，绝对是佳作。在剧情长度上给人一种量大的感觉，一连好几个大小地图给人的诚意实在很足，两个章节的风格也让人能享受到所有生化危机的快乐，不管是grace章节的恐怖还是leon章节的暴杀都很舒爽，给人的感觉是把re4和7代的优点都带来了。问题也有，比如说我就很难理解为什么非要很多房间做成一本道，例如疗养院有张餐桌，明明可以把餐桌左边打开作为溜鬼的场地，结果只开放一边，导致被怪堵路就只能选择退回很远的地方，这种设计在地下尤为明显，有些地方根本无法作为溜鬼的场地，基本上吸引到仇恨就是死。如果说grace章节这样是为了增加压迫感，但是leon章节同样会有这种问题，战斗时候能拉扯的地方太小了，很容易就被围殴，但是箱庭设计又是真的很棒，这个地图真是好处和屎初都不少。但还是那句话，瑕不掩瑜，卡普空是真的知道怎么做游戏，也是真的知道生化危机玩家喜欢什么，不管是恐怖还是战斗爽，这一代全都给你呈现出来，不管是第一人称还是第三人称，想玩就自己选好了，卡普空神了。,推荐,10.9,27,136,好游戏 绝对是佳作 在剧情长度上给人一种量大的感觉 一连好几个大小地图给人的诚意实在很足 两个章节的风格也让人能享受到所有生化危机的快乐 不管是grace章节的恐怖还是leon章节的暴杀都很舒爽 给人的感觉是把re4和7代的优点都带来了 问题也有 比如说我就很难理解为什么非要很多房间做成一本道 例如疗养院有张餐桌 明明可以把餐桌左边打开作为溜鬼的场地 结果只开放一边 导致被怪堵路就只能选择退回很远的地方 这种设计在地下尤为明显 有些地方根本无法作为溜鬼的场地 基本上吸引到仇恨就是死 如果说grace章节这样是为了增加压迫感 但是leon章节同样会有这种问题 战斗时候能拉扯的地方太小了 很容易就被围殴 但是箱庭设计又是真的很棒 这个地图真是好处和屎初都不少 但还是那句话 瑕不掩瑜 卡普空是真的知道怎么做游戏 也是真的知道生化危机玩家喜欢什么 不管是恐怖还是战斗爽 这一代全都给你呈现出来 不管是第一人称还是第三人称 想玩就自己选好了 卡普空神了,玩法,正面
12,12,2026-02-28,发售的一天内打通一周目了，我的评价是卡普空的集大成之作，在这里能看到很多往代生化的影子，像是启示录2的双线叙事，可惜的是grace的线对leon的线不会有太大影响。疗养院的内容真的感觉回到了二代，甚至更加恐怖，但后续一张的浣熊市废墟设计就比较怪了，虽然演出还是很精彩的。建议以第三人称游玩leon，第一人称游玩grace。（王阿姨在dlc还有机会回归吗，求求了卡婊）,推荐,11.2,47,156,发售的一天内打通一周目了 我的评价是卡普空的集大成之作 在这里能看到很多往代生化的影子 像是启示录2的双线叙事 可惜的是grace的线对leon的线不会有太大影响 疗养院的内容真的感觉回到了二代 甚至更加恐怖 但后续一张的浣熊市废墟设计就比较怪了 虽然演出还是很精彩的 建议以第三人称游玩leon 第一人称游玩grace 王阿姨在dlc还有机会回归吗 求求了卡婊,剧情,正面
13,13,2026-02-28,非常棒的双线叙事，里昂战斗爽，格蕾丝生存恐怖，解谜还是老传统,推荐,4.7,7,116,非常棒的双线叙事 里昂战斗爽 格蕾丝生存恐怖 解谜还是老传统,剧情,正面
14,14,2026-02-28,好玩，虽然罐头，但是质量依然优秀，剧情内容虽少，但是瑕不掩瑜。,推荐,14.3,48,207,好玩 虽然罐头 但是质量依然优秀 剧情内容虽少 但是瑕不掩瑜,玩法,正面
15,15,2026-02-28,旧时代的终结，新时代的开始,推荐,9.5,33,142,旧时代的终结 新时代的开始,情怀,正面
16,16,2026-02-28,好玩爱玩,推荐,12.1,29,88,好玩爱玩,玩法,正面
17,17,2026-02-28,好玩，爽爽爽,推荐,14.2,20,29,好玩 爽爽爽,玩法,正面
18,18,2026-02-28,HAOWAN,推荐,11.5,19,178,HAOWAN,玩法,正面
19,19,2026-02-28,解密精巧，打击感好，喜欢格蕾丝！,推荐,6.7,46,155,解密精巧 打击感好 喜欢格蕾丝,玩法,正面
20,20,2026-02-28,疗养院整体很有意思，里昂战斗爽，总体流程稍短，希望后续新作或者冷饭还能见到里昂,推荐,14.2,15,124,疗养院整体很有意思 里昂战斗爽 总体流程稍短 希望后续新作或者冷饭还能见到里昂,情怀,正面
21,21,2026-02-28,好玩！集大成之作，剧情没完全通不评价，但游戏很好玩！雪莉很好看！里昂很帅！格蕾丝让我心动（指害怕到心扑通扑通跳）！,推荐,6.1,4,63,好玩 集大成之作 剧情没完全通不评价 但游戏很好玩 雪莉很好看 里昂很帅 格蕾丝让我心动 指害怕到心扑通扑通跳,玩法,正面
22,22,2026-02-28,把我的伊森还给我😭,推荐,6.7,23,132,把我的伊森还给我,情怀,正面
23,23,2026-02-28,神中神 好玩就完事了 普通难度格蕾丝篇很恐怖但也能偷摸杀个七七八八 里昂篇就是纯粹的爽,推荐,8.6,47,106,神中神 好玩就完事了 普通难度格蕾丝篇很恐怖但也能偷摸杀个七七八八 里昂篇就是纯粹的爽,玩法,正面
24,24,2026-02-28,要是跟六代一样群星作就好了,推荐,14.9,45,54,要是跟六代一样群星作就好了,情怀,正面
25,25,2026-02-28,我宣布我喜欢格蕾丝,推荐,15.3,10,19,我宣布我喜欢格蕾丝,其他,正面
26,26,2026-02-28,"作为玩了生化234重制，678原版，启示录12及一两个附赠的游戏的生化老粉，我可以给九打到9分的程度

恐怖的话就刚开始恐怖一点，后面打顺手了之后就是纯粹的博弈战斗了
两条线的切换做的挺不错的，属于是玩累了战斗和探索中的其中一个都能够适当切换的程度
剧情有点不合逻辑，但是个人还是能接受的，毕竟要给自己当时写死威斯克擦屁股（[spoiler]就是最后艾米莉能复活我是真没绷住[/spoiler]）
动作部分里昂线是真的爽，一点都不害怕的程度，老男人太帅了
解谜部分的话，就是只要玩过两部生化以上，就能够在看到相关物品的第一时间，想到自己要干什么的程度，很经典，我还挺吃这套的

总的来说，一口气打下来很爽没有尿点，做的很平衡，里昂线有很多二的彩蛋看到会很开心，整体也有借鉴3和4地方，甚至有最后生还者的感觉，但是融的不错，好玩的",推荐,13.5,28,37,作为玩了生化234重制 678原版 启示录12及一两个附赠的游戏的生化老粉 我可以给九打到9分的程度 恐怖的话就刚开始恐怖一点 后面打顺手了之后就是纯粹的博弈战斗了 两条线的切换做的挺不错的 属于是玩累了战斗和探索中的其中一个都能够适当切换的程度 剧情有点不合逻辑 但是个人还是能接受的 毕竟要给自己当时写死威斯克擦屁股 spoiler 就是最后艾米莉能复活我是真没绷住 spoiler 动作部分里昂线是真的爽 一点都不害怕的程度 老男人太帅了 解谜部分的话 就是只要玩过两部生化以上 就能够在看到相关物品的第一时间 想到自己要干什么的程度 很经典 我还挺吃这套的 总的来说 一口气打下来很爽没有尿点 做的很平衡 里昂线有很多二的彩蛋看到会很开心 整体也有借鉴3和4地方 甚至有最后生还者的感觉 但是融的不错 好玩的,剧情,正面
27,27,2026-02-28,好玩！,推荐,0.6,44,203,好玩,玩法,正面
28,28,2026-02-28,2026年度最佳预定,推荐,10.9,12,21,2026年度最佳预定,情怀,正面
29,29,2026-02-28,他，不愧是可以当我老公的男人。,推荐,14.6,35,94,他 不愧是可以当我老公的男人,情怀,正面
30,30,2026-02-28,好玩爱玩,推荐,5.0,22,31,好玩爱玩,玩法,正面
31,31,2026-02-28,刚通关，请问这是鬼泣六吗,推荐,11.8,46,55,刚通关 请问这是鬼泣六吗,玩法,正面
32,32,2026-02-28,"nb
",推荐,10.2,4,63,nb,其他,正面
33,33,2026-02-28,"经测试，pc版游戏完全没有对DualSense手柄特性的支持，没有触觉反馈也没有自适应扳机，甚至没有对于手柄本身的适配，商店页面说的支持DualSense手柄是骗人的，请更新支持DualSense手柄特性！

After testing, I found that the PC version of the game has no support for DualSense controller features at all—no haptic feedback, no adaptive triggers, and not even basic controller compatibility. The store page claiming DualSense support is misleading. Please update the game to include DualSense controller features!

テストしたところ、PC版のゲームはDualSenseコントローラーの機能にまったく対応していないことがわかりました。触覚フィードバックもアダプティブトリガーもなく、コントローラー自体の基本的な互換性すらありません。ストアページでDualSense対応と記載されているのは誤解を招くものです。ぜひDualSenseコントローラーの機能に対応したアップデートをお願いします！",不推荐,0.5,21,130,经测试 pc版游戏完全没有对DualSense手柄特性的支持 没有触觉反馈也没有自适应扳机 甚至没有对于手柄本身的适配 商店页面说的支持DualSense手柄是骗人的 请更新支持DualSense手柄特性 After testing I found that the PC version of the game has no support for DualSense controller features at all no haptic feedback no adaptive triggers and not even basic controller compatibility The store page claiming DualSense support is misleading Please update the game to include DualSense controller features テストしたところ PC版のゲームはDualSenseコントローラーの機能にまったく対応していないことがわかりました 触覚フィードバックもアダプティブトリガーもなく コントローラー自体の基本的な互換性すらありません ストアページでDualSense対応と記載されているのは誤解を招くものです ぜひDualSenseコントローラーの機能に対応したアップデートをお願いします,优化,负面
34,34,2026-02-28,一定要买豪华版，葛蕾斯DLC服装的香肩配上细汗，才能让生化危机变成真正的射击游戏！,推荐,7.1,27,186,一定要买豪华版 葛蕾斯DLC服装的香肩配上细汗 才能让生化危机变成真正的射击游戏,情怀,正面
35,35,2026-02-28,依旧,推荐,14.8,13,172,依旧,情怀,正面
36,36,2026-02-28,生化系列对我来说从来不是选择题，每一部都是首发预购豪华版从来不犹豫，从初代一直玩到现在，见证了太多角色的故事和落幕，早就有了感情，不知道有生之年能不能看到巴瑞杰克比利再次登场,推荐,14.4,5,64,生化系列对我来说从来不是选择题 每一部都是首发预购豪华版从来不犹豫 从初代一直玩到现在 见证了太多角色的故事和落幕 早就有了感情 不知道有生之年能不能看到巴瑞杰克比利再次登场,情怀,正面
37,37,2026-02-28,好玩，里昂依旧帅气逼人,推荐,6.1,32,41,好玩 里昂依旧帅气逼人,情怀,正面
38,38,2026-02-28,发售当天一直玩，三天未眠，量大管饱，顶级画质，极致演出,推荐,21.6,8,117,发售当天一直玩 三天未眠 量大管饱 顶级画质 极致演出,画面,正面
39,39,2026-02-28,无情抽血机,推荐,13.2,6,165,无情抽血机,价格,正面
40,40,2026-02-28,好玩的,推荐,4.1,45,154,好玩的,玩法,正面
41,41,2026-02-28,"赶紧出佣兵，
",不推荐,12.0,47,106,赶紧出佣兵,情怀,负面
42,42,2026-02-28,后半段剧情确实有点快而且有点迷惑，但整体还是很不错的，怪的设计和气氛压迫感设计都挺到位的，还是很推荐的,推荐,12.4,47,56,后半段剧情确实有点快而且有点迷惑 但整体还是很不错的 怪的设计和气氛压迫感设计都挺到位的 还是很推荐的,剧情,正面
43,43,2026-02-28,steamdeck打开就闪退，试了很多办法都没法正常玩，最后只能用gforce now……,推荐,3.6,27,136,steamdeck打开就闪退 试了很多办法都没法正常玩 最后只能用gforce now,优化,正面
44,44,2026-02-28,好玩！！！！,推荐,4.6,28,137,好玩,玩法,正面
45,45,2026-02-28,世界上最好的丧尸类游戏，很难再有人能配得上“之一”了，这一作在恐怖和爽快的体验上都有非常巧妙的设计，虽然在前期体验上会觉得比较压抑，并且解密流程稍微有一点长，但是爽起来是真的爽。解密也算是系列原汁原味的设计了，好多地方既视感都很重，喜欢的应该会特别喜欢，绝对好评,推荐,7.3,43,152,世界上最好的丧尸类游戏 很难再有人能配得上 之一 了 这一作在恐怖和爽快的体验上都有非常巧妙的设计 虽然在前期体验上会觉得比较压抑 并且解密流程稍微有一点长 但是爽起来是真的爽 解密也算是系列原汁原味的设计了 好多地方既视感都很重 喜欢的应该会特别喜欢 绝对好评,玩法,正面
46,46,2026-02-28,又有2代的恐怖又有4代的爽感,推荐,14.2,14,73,又有2代的恐怖又有4代的爽感,玩法,正面
47,47,2026-02-28,好玩，格蕾丝的人物塑造也是蛮好的，里昂还是特别帅，平稳落地,推荐,13.5,15,174,好玩 格蕾丝的人物塑造也是蛮好的 里昂还是特别帅 平稳落地,情怀,正面
48,48,2026-02-28,好玩，爽玩，带劲儿玩。目前体验来说很稳... ... 可以在系列最佳那一档。但是剧情很平，格蕾丝戏份比里昂大。目前我可以打9/10分。,推荐,8.2,17,176,好玩 爽玩 带劲儿玩 目前体验来说很稳 可以在系列最佳那一档 但是剧情很平 格蕾丝戏份比里昂大 目前我可以打9 10分,玩法,正面
49,49,2026-02-28,"MLGB往浣熊市塞蜘蛛不知道加蜘蛛恐惧症选项是吧
隔壁怪猎都知道加你生化不加
卡表你无敌了",不推荐,8.8,11,20,MLGB往浣熊市塞蜘蛛不知道加蜘蛛恐惧症选项是吧 隔壁怪猎都知道加你生化不加 卡表你无敌了,其他,负面
50,50,2026-02-28,"Grace and Leon represent the two extremes of this game, yet they blend together perfectly. I think this model should become the mainstream for future horror games.",推荐,10.5,18,177,Grace and Leon represent the two extremes of this game yet they blend together perfectly I think this model should become the mainstream for future horror games,剧情,正面
51,51,2026-02-28,"角色吐槽太好笑了，包括但不限于：
格蕾丝：
[spoiler] “这里的人都这么开门的吗” [/spoiler]
里昂：
[spoiler]“你是有多久没刷牙了”[/spoiler]
[spoiler]“怎么还有比我更暴的人”[/spoiler]
[spoiler]“叫你不带头盔”[/spoiler]",推荐,12.3,48,207,角色吐槽太好笑了 包括但不限于 格蕾丝 spoiler 这里的人都这么开门的吗 spoiler 里昂 spoiler 你是有多久没刷牙了 spoiler spoiler 怎么还有比我更暴的人 spoiler spoiler 叫你不带头盔 spoiler,剧情,正面
52,52,2026-02-28,老李勇闯浣熊市,推荐,4.1,21,80,老李勇闯浣熊市,情怀,正面
53,53,2026-02-28,最巅峰的一部,推荐,24.6,17,176,最巅峰的一部,情怀,正面
54,54,2026-02-28,牛逼,推荐,9.9,9,18,牛逼,其他,正面
55,55,2026-02-28,"（剧透警告）
虽然可能很多人会说这是炒冷饭，也可能有很多人会说就是生2和生4的大缝合。的确的确，疗养院完全洋馆or博物馆翻版，经典屁股后面打不死的怪物，找保险丝找三个宝物开门，然后是生4湖泊寻宝primer plus，上蹿下跳再找三个装置开门，上公路这次把生4矿车换成摩托车。但是这就是很好啊，全是以前最好最棒的点，在新时代的技术和新的思路下，重新包装一遍再端上来。就像一桌子家宴，虽然菜式已经吃过千百遍，但一直都是好吃的。
推开警察局门的时候，眼前飘过好多好多东西。生2的固定视角，生4的wasd移动上下左右转向，到生6的全球爆发，再到re2拿着无限小刀夜闯警察局，再到re4第一次开始喜欢碍事梨。最开始坐在电脑前一遍遍看死亡动画，上网寻找学习版的初中小屁孩现在也有了自己的工资，第一时间买了新作开始游玩，不经意间瞟一眼，却又看到了多少年前的自己。
以上。",推荐,10.1,23,182,剧透警告 虽然可能很多人会说这是炒冷饭 也可能有很多人会说就是生2和生4的大缝合 的确的确 疗养院完全洋馆or博物馆翻版 经典屁股后面打不死的怪物 找保险丝找三个宝物开门 然后是生4湖泊寻宝primer plus 上蹿下跳再找三个装置开门 上公路这次把生4矿车换成摩托车 但是这就是很好啊 全是以前最好最棒的点 在新时代的技术和新的思路下 重新包装一遍再端上来 就像一桌子家宴 虽然菜式已经吃过千百遍 但一直都是好吃的 推开警察局门的时候 眼前飘过好多好多东西 生2的固定视角 生4的wasd移动上下左右转向 到生6的全球爆发 再到re2拿着无限小刀夜闯警察局 再到re4第一次开始喜欢碍事梨 最开始坐在电脑前一遍遍看死亡动画 上网寻找学习版的初中小屁孩现在也有了自己的工资 第一时间买了新作开始游玩 不经意间瞟一眼 却又看到了多少年前的自己 以上,情怀,正面
56,56,2026-02-28,Nice,推荐,2.2,21,180,Nice,其他,正面
57,57,2026-02-28,商店写明了支持PS手柄，结果根本没适配，禁用STEAM输入后，连手柄都检测不到。卡表就是表。,不推荐,14.2,9,168,商店写明了支持PS手柄 结果根本没适配 禁用STEAM输入后 连手柄都检测不到 卡表就是表,优化,负面
58,58,2026-02-28,re4也预购了 本作质量确实不输re4 卡普空一如既往的给玩家满分答卷 本作两种系列风格都可以体验 可玩性相当之高 为系列集大成之作 毫不夸张的说 re9是我在法环通关后玩过的最好玩的游戏 拯救了我的电子ed,推荐,11.9,44,103,re4也预购了 本作质量确实不输re4 卡普空一如既往的给玩家满分答卷 本作两种系列风格都可以体验 可玩性相当之高 为系列集大成之作 毫不夸张的说 re9是我在法环通关后玩过的最好玩的游戏 拯救了我的电子ed,玩法,正面
59,59,2026-02-28,好玩！不愧是生化危机 可惜手柄适配还差很多,推荐,1.7,32,141,好玩 不愧是生化危机 可惜手柄适配还差很多,优化,正面
60,60,2026-02-28,疗养院部分2re以来最好，浣熊市+方舟直接变成走廊射击，做出后半段流程卡婊应该觉得羞耻,不推荐,13.3,16,75,疗养院部分2re以来最好 浣熊市 方舟直接变成走廊射击 做出后半段流程卡婊应该觉得羞耻,剧情,负面
61,61,2026-02-28,"目前普通难度我通关是9个小时，差不多路上的东西全拿了就是这个时间。
游戏体验很不错，但有两个我个人感觉不太舒服的地方。
一个是剧情女主前期人设不太讨喜，第二是第一章节和第二章节过渡有些突兀，以及里昂本来应该是战斗爽的地方设计的有些不太流畅（你敢省资源用斧头手枪能给你用的难受的要死，能用霰弹就用霰弹，体验爽十倍。）",推荐,13.9,19,178,目前普通难度我通关是9个小时 差不多路上的东西全拿了就是这个时间 游戏体验很不错 但有两个我个人感觉不太舒服的地方 一个是剧情女主前期人设不太讨喜 第二是第一章节和第二章节过渡有些突兀 以及里昂本来应该是战斗爽的地方设计的有些不太流畅 你敢省资源用斧头手枪能给你用的难受的要死 能用霰弹就用霰弹 体验爽十倍,剧情,正面
62,62,2026-02-28,神作毋庸置疑，主线没有王阿姨扣1分,推荐,15.0,4,163,神作毋庸置疑 主线没有王阿姨扣1分,剧情,正面
63,63,2026-02-28,好玩，不过比经典还是差一些在某些玩法上,推荐,5.2,20,179,好玩 不过比经典还是差一些在某些玩法上,玩法,正面
64,64,2026-02-28,"格蕾丝篇就是生7生8那一套，不特别吓人但也不安稳，倒也不至于全程紧绷神经
里昂篇很明显的想复刻生4re的成功，通篇流程不说很像也八九不离十，卡婊不想走出自己擅长的舒适区
两个主角也确实做出了区别，对应两种玩法
反派塑造不足，机械降神不说，结局又草草收尾，欠缺打磨
作为系列30周年这一关键节点推出的作品，我更想看到的是改变而不是缝合，完全可以做出更进一步的大胆尝试

总结：喜欢生化危机系列的老玩家可以入，算是一封情书？游戏不够惊艳，但也保住了下限。不建议萌新作为自己的入坑作，剧情需要对前作有一定了解，而且游戏性上也还有更有深度的作品可以选择，老游戏会被重制不是没有原因的",推荐,14.6,6,115,格蕾丝篇就是生7生8那一套 不特别吓人但也不安稳 倒也不至于全程紧绷神经 里昂篇很明显的想复刻生4re的成功 通篇流程不说很像也八九不离十 卡婊不想走出自己擅长的舒适区 两个主角也确实做出了区别 对应两种玩法 反派塑造不足 机械降神不说 结局又草草收尾 欠缺打磨 作为系列30周年这一关键节点推出的作品 我更想看到的是改变而不是缝合 完全可以做出更进一步的大胆尝试 总结 喜欢生化危机系列的老玩家可以入 算是一封情书 游戏不够惊艳 但也保住了下限 不建议萌新作为自己的入坑作 剧情需要对前作有一定了解 而且游戏性上也还有更有深度的作品可以选择 老游戏会被重制不是没有原因的,剧情,正面
65,65,2026-02-28,无敌的优化，帅气的中年里昂，还有什么好说的？,推荐,10.6,41,200,无敌的优化 帅气的中年里昂 还有什么好说的,情怀,正面
66,66,2026-02-28,虽然好玩但是不如机8,推荐,12.1,26,85,虽然好玩但是不如机8,玩法,正面
67,67,2026-02-28,全是老素材，新怪都没几个，这质量能卖400啊？格蕾丝你好歹是个调查员，动不动就大吵大叫跟个智障一样，cg和小女孩的对话都看的我力竭了，我就是说不行你让克莱尔来呗？,不推荐,15.8,39,98,全是老素材 新怪都没几个 这质量能卖400啊 格蕾丝你好歹是个调查员 动不动就大吵大叫跟个智障一样 cg和小女孩的对话都看的我力竭了 我就是说不行你让克莱尔来呗,价格,负面
68,68,2026-02-28,一番,推荐,8.5,27,136,一番,其他,正面
69,69,2026-02-28,好玩爱玩爽玩,推荐,12.6,37,46,好玩爱玩爽玩,玩法,正面
70,70,2026-02-28,"好玩，里昂战斗爽，格蕾丝解密加资源管理，两种玩法在一作游戏都能玩到还是很爽的，就像之前宣传的每当对当前游玩风格感觉到一点腻的时候伴随着角色切换游戏节奏截然不同给人带来新意。
唯一的缺点是剧情，给人感觉虎头蛇尾，无论是宣传片还是开头都感觉有一系列可能性，而且既然涉及浣熊市那相关老角色的相关消息也太少了，知道制作组怕生6那种，但是其他角色就算不出场多少多给点文件或者其他媒介方式来客串本作，否则浣熊市这个噱头有点浪费了。
希望DLC在剧情上有所补充弥补",推荐,14.9,26,185,好玩 里昂战斗爽 格蕾丝解密加资源管理 两种玩法在一作游戏都能玩到还是很爽的 就像之前宣传的每当对当前游玩风格感觉到一点腻的时候伴随着角色切换游戏节奏截然不同给人带来新意 唯一的缺点是剧情 给人感觉虎头蛇尾 无论是宣传片还是开头都感觉有一系列可能性 而且既然涉及浣熊市那相关老角色的相关消息也太少了 知道制作组怕生6那种 但是其他角色就算不出场多少多给点文件或者其他媒介方式来客串本作 否则浣熊市这个噱头有点浪费了 希望DLC在剧情上有所补充弥补,玩法,正面
71,71,2026-02-28,hao wan,推荐,6.1,22,81,hao wan,玩法,正面
72,72,2026-02-28,缺乏创新 怪物的种类也不怎么多 主要还是卖情怀作品 反派我感觉是跟0代马库斯齐头迷惑的 物品规划做的还挺有意思  解密也不难 女主线感觉就是re2只不过更多是避战 里昂篇纯爽游来的,推荐,12.6,46,55,缺乏创新 怪物的种类也不怎么多 主要还是卖情怀作品 反派我感觉是跟0代马库斯齐头迷惑的 物品规划做的还挺有意思 解密也不难 女主线感觉就是re2只不过更多是避战 里昂篇纯爽游来的,情怀,正面
73,73,2026-02-28,耗网 挨晚,推荐,8.1,46,105,耗网 挨晚,其他,正面
74,74,2026-02-28,还可以！但是我更喜欢生化危机4重置！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,推荐,6.0,26,135,还可以 但是我更喜欢生化危机4重置,情怀,正面
